case,imb,delta,N,rb_P,rb_mean,rb_std,hs_P,hs_mean,hs_std,ratio_rb_over_hs
best,100,0,20000,2,0.5889753,0.010914830706174276,2,2.7358499000000003,0.0545908776963291,0.2152805605307513
worst,25,0,20000,4,0.6786546,0.012034956715981805,6,0.012564200000000001,0.00012152713460147248,54.014947231021466
