variant,N,P,imb,delta,rep,seconds,rc
parpseq,50000,2,95,0,1,0.012759,0
parpseq,50000,2,95,0,2,0.013434,0
parpseq,50000,2,95,0,3,0.012574,0
parpseq,50000,2,100,0,1,0.013439,0
parpseq,50000,2,100,0,2,0.013364,0
parpseq,50000,2,100,0,3,0.013134,0
parpseq,50000,4,0,0,1,0.012750,0
parpseq,50000,4,0,0,2,0.012784,0
parpseq,50000,4,0,0,3,0.012489,0
parpseq,50000,4,5,0,1,0.012854,0
parpseq,50000,4,5,0,2,0.012675,0
parpseq,50000,4,5,0,3,0.012528,0
parpseq,50000,4,10,0,1,0.012712,0
parpseq,50000,4,10,0,2,0.012597,0
parpseq,50000,4,10,0,3,0.012604,0
parpseq,50000,4,15,0,1,0.012942,0
parpseq,50000,4,15,0,2,0.012349,0
parpseq,50000,4,15,0,3,0.012988,0
parpseq,50000,4,20,0,1,0.012810,0
parpseq,50000,4,20,0,2,0.012500,0
parpseq,50000,4,20,0,3,0.012384,0
parpseq,50000,4,25,0,1,0.012723,0
parpseq,50000,4,25,0,2,0.012597,0
parpseq,50000,4,25,0,3,0.012171,0
parpseq,50000,4,30,0,1,0.012665,0
parpseq,50000,4,30,0,2,0.012667,0
parpseq,50000,4,30,0,3,0.012870,0
parpseq,50000,4,35,0,1,0.013034,0
parpseq,50000,4,35,0,2,0.012522,0
parpseq,50000,4,35,0,3,0.012497,0
parpseq,50000,4,40,0,1,0.012826,0
parpseq,50000,4,40,0,2,0.012868,0
parpseq,50000,4,40,0,3,0.012803,0
parpseq,50000,4,45,0,1,0.012737,0
parpseq,50000,4,45,0,2,0.012924,0
parpseq,50000,4,45,0,3,0.012783,0
parpseq,50000,4,50,0,1,0.012446,0
parpseq,50000,4,50,0,2,0.012596,0
parpseq,50000,4,50,0,3,0.012563,0
parpseq,50000,4,55,0,1,0.012717,0
parpseq,50000,4,55,0,2,0.012918,0
parpseq,50000,4,55,0,3,0.012828,0
parpseq,50000,4,60,0,1,0.013069,0
parpseq,50000,4,60,0,2,0.012766,0
parpseq,50000,4,60,0,3,0.012519,0
parpseq,50000,4,65,0,1,0.012825,0
parpseq,50000,4,65,0,2,0.012644,0
parpseq,50000,4,65,0,3,0.012474,0
parpseq,50000,4,70,0,1,0.012849,0
parpseq,50000,4,70,0,2,0.012748,0
parpseq,50000,4,70,0,3,0.012639,0
parpseq,50000,4,75,0,1,0.012695,0
parpseq,50000,4,75,0,2,0.012434,0
parpseq,50000,4,75,0,3,0.012689,0
parpseq,50000,4,80,0,1,0.012806,0
parpseq,50000,4,80,0,2,0.012583,0
parpseq,50000,4,80,0,3,0.012743,0
parpseq,50000,4,85,0,1,0.012638,0
parpseq,50000,4,85,0,2,0.012711,0
parpseq,50000,4,85,0,3,0.012467,0
parpseq,50000,4,90,0,1,0.012628,0
parpseq,50000,4,90,0,2,0.012711,0
parpseq,50000,4,90,0,3,0.012359,0
parpseq,50000,4,95,0,1,0.012688,0
parpseq,50000,4,95,0,2,0.012167,0
parpseq,50000,4,95,0,3,0.012577,0
parpseq,50000,4,100,0,1,0.024644,0
parpseq,50000,4,100,0,2,0.035100,0
parpseq,50000,4,100,0,3,0.035936,0
parpseq,50000,8,0,0,1,0.012928,0
parpseq,50000,8,0,0,2,0.012752,0
parpseq,50000,8,0,0,3,0.012584,0
parpseq,50000,8,5,0,1,0.012654,0
parpseq,50000,8,5,0,2,0.012545,0
parpseq,50000,8,5,0,3,0.012997,0
parpseq,50000,8,10,0,1,0.012734,0
parpseq,50000,8,10,0,2,0.012397,0
parpseq,50000,8,10,0,3,0.012422,0
