variant,N,P,imb,delta,rep,seconds,rc
super,50000,4,10,0,1,0.002223183,0
super,50000,4,10,0,2,0.003603774,0
super,50000,4,10,0,3,0.002283507,0
super,50000,4,15,0,1,0.002240348,0
super,50000,4,15,0,2,0.002425647,0
super,50000,4,15,0,3,0.004814810,0
super,50000,4,20,0,1,0.006416810,0
super,50000,4,20,0,2,0.002855429,0
super,50000,4,20,0,3,0.002949756,0
super,50000,4,25,0,1,0.002435960,0
super,50000,4,25,0,2,0.002472448,0
super,50000,4,25,0,3,0.002829234,0
super,50000,4,30,0,1,0.002582284,0
super,50000,4,30,0,2,0.002424183,0
super,50000,4,30,0,3,0.002153756,0
super,50000,4,35,0,1,0.002281111,0
super,50000,4,35,0,2,0.002261567,0
super,50000,4,35,0,3,0.002352006,0
super,50000,4,40,0,1,0.002181881,0
super,50000,4,40,0,2,0.002106109,0
super,50000,4,40,0,3,0.002483553,0
super,50000,4,45,0,1,0.002798883,0
super,50000,4,45,0,2,0.002221399,0
super,50000,4,45,0,3,0.002231956,0
super,50000,4,50,0,1,0.002077202,0
super,50000,4,50,0,2,0.002146085,0
super,50000,4,50,0,3,0.002495227,0
super,50000,4,55,0,1,0.002639715,0
super,50000,4,55,0,2,0.002657321,0
super,50000,4,55,0,3,0.002081394,0
super,50000,4,60,0,1,0.002078719,0
super,50000,4,60,0,2,0.002201613,0
super,50000,4,60,0,3,0.002148075,0
super,50000,4,65,0,1,0.002670250,0
super,50000,4,65,0,2,0.003873366,0
super,50000,4,65,0,3,0.002092867,0
super,50000,4,70,0,1,0.002173994,0
super,50000,4,70,0,2,0.003734178,0
super,50000,4,70,0,3,0.002355045,0
super,50000,4,75,0,1,0.002642331,0
super,50000,4,75,0,2,0.002229313,0
super,50000,4,75,0,3,0.002290068,0
super,50000,4,80,0,1,0.002161565,0
super,50000,4,80,0,2,0.002279966,0
super,50000,4,80,0,3,0.002454296,0
super,50000,4,85,0,1,0.002117776,0
super,50000,4,85,0,2,0.003573697,0
super,50000,4,85,0,3,0.002011512,0
super,50000,4,90,0,1,0.002324013,0
super,50000,4,90,0,2,0.002734468,0
super,50000,4,90,0,3,0.002285960,0
super,50000,4,95,0,1,0.002204496,0
super,50000,4,95,0,2,0.002309342,0
super,50000,4,95,0,3,0.002328184,0
super,50000,4,100,0,1,0.003686052,0
super,50000,4,100,0,2,0.002324244,0
super,50000,4,100,0,3,0.002913474,0
super,50000,8,0,0,1,0.008378472,0
super,50000,8,0,0,2,0.006746428,0
super,50000,8,0,0,3,0.009248986,0
super,50000,8,5,0,1,0.004446388,0
super,50000,8,5,0,2,0.004684587,0
super,50000,8,5,0,3,0.006522315,0
super,50000,8,10,0,1,0.004286239,0
super,50000,8,10,0,2,0.004268410,0
super,50000,8,10,0,3,0.006640522,0
super,50000,8,15,0,1,0.007200053,0
super,50000,8,15,0,2,0.005294821,0
super,50000,8,15,0,3,0.005057541,0
super,50000,8,20,0,1,0.005565173,0
super,50000,8,20,0,2,0.008920246,0
