N,P,rep,seconds,rc
80,4,5,0.348437,0
80,4,6,0.346030,0
80,4,7,0.346560,0
80,4,8,0.344443,0
80,4,9,0.345668,0
80,4,10,0.343873,0
80,6,1,0.361800,0
80,6,2,0.392334,0
80,6,3,0.395405,0
80,6,4,0.384688,0
80,6,5,0.394425,0
80,6,6,0.390036,0
80,6,7,0.392703,0
80,6,8,0.399038,0
80,6,9,0.387246,0
80,6,10,0.368786,0
80,8,1,0.401399,0
80,8,2,0.425512,0
80,8,3,0.401549,0
80,8,4,0.435450,0
80,8,5,0.436063,0
80,8,6,0.429660,0
80,8,7,0.441237,0
80,8,8,0.406401,0
80,8,9,0.392589,0
80,8,10,0.406004,0
88,2,1,0.352342,0
88,2,2,0.328153,0
88,2,3,0.348793,0
88,2,4,0.350290,0
88,2,5,0.349492,0
88,2,6,0.347208,0
88,2,7,0.352411,0
88,2,8,0.349875,0
88,2,9,0.354654,0
88,2,10,0.354860,0
88,4,1,0.391780,0
88,4,2,0.395659,0
88,4,3,0.395832,0
88,4,4,0.394318,0
88,4,5,0.381967,0
88,4,6,0.396261,0
88,4,7,0.400868,0
88,4,8,0.372656,0
88,4,9,0.393681,0
88,4,10,0.401572,0
88,6,1,0.395558,0
88,6,2,0.436112,0
88,6,3,0.437534,0
88,6,4,0.438168,0
88,6,5,0.439232,0
88,6,6,0.440840,0
88,6,7,0.446601,0
88,6,8,0.424248,0
88,6,9,0.434011,0
88,6,10,0.438680,0
88,8,1,0.456392,0
88,8,2,0.433694,0
88,8,3,0.480413,0
88,8,4,0.482482,0
88,8,5,0.460441,0
88,8,6,0.463586,0
88,8,7,0.476748,0
88,8,8,0.433911,0
88,8,9,0.461917,0
88,8,10,0.469607,0
96,2,1,0.416483,0
96,2,2,0.419360,0
96,2,3,0.408031,0
96,2,4,0.409307,0
96,2,5,0.419512,0
96,2,6,0.404235,0
96,2,7,0.405674,0
96,2,8,0.406933,0
96,2,9,0.415434,0
96,2,10,0.411349,0
96,4,1,0.442066,0
96,4,2,0.430210,0
96,4,3,0.402010,0
96,4,4,0.435272,0
96,4,5,0.429957,0
96,4,6,0.456185,0
96,4,7,0.457163,0
96,4,8,0.427690,0
96,4,9,0.410893,0
96,4,10,0.432626,0
96,6,1,0.464137,0
96,6,2,0.488054,0
96,6,3,0.486111,0
96,6,4,0.489739,0
96,6,5,0.500468,0
96,6,6,0.468755,0
96,6,7,0.490835,0
96,6,8,0.468502,0
96,6,9,0.440035,0
96,6,10,0.475185,0
96,8,1,0.504303,0
96,8,2,0.530524,0
96,8,3,0.530005,0
96,8,4,0.528954,0
96,8,5,0.541994,0
96,8,6,0.475727,0
96,8,7,0.512987,0
96,8,8,0.492291,0
96,8,9,0.492411,0
96,8,10,0.470498,0
104,2,1,0.468209,0
104,2,2,0.471165,0
104,2,3,0.468904,0
104,2,4,0.444012,0
104,2,5,0.462994,0
104,2,6,0.464425,0
104,2,7,0.463102,0
104,2,8,0.469791,0
104,2,9,0.465250,0
104,2,10,0.468520,0
104,4,1,0.509015,0
104,4,2,0.512945,0
104,4,3,0.512135,0
104,4,4,0.521224,0
104,4,5,0.517039,0
104,4,6,0.513554,0
104,4,7,0.518906,0
104,4,8,0.515252,0
104,4,9,0.489961,0
104,4,10,0.516985,0
104,6,1,0.550551,0
104,6,2,0.548587,0
104,6,3,0.532243,0
104,6,4,0.561377,0
104,6,5,0.564110,0
104,6,6,0.532630,0
104,6,7,0.520075,0
104,6,8,0.554574,0
104,6,9,0.554677,0
104,6,10,0.534108,0
104,8,1,0.587135,0
104,8,2,0.597256,0
104,8,3,0.590787,0
104,8,4,0.596452,0
104,8,5,0.592648,0
104,8,6,0.580215,0
104,8,7,0.594635,0
104,8,8,0.598020,0
104,8,9,0.602724,0
104,8,10,0.594367,0
112,2,1,0.538885,0
112,2,2,0.525779,0
112,2,3,0.522122,0
112,2,4,0.525036,0
112,2,5,0.525699,0
112,2,6,0.525025,0
112,2,7,0.523985,0
112,2,8,0.502926,0
112,2,9,0.527585,0
112,2,10,0.526200,0
112,4,1,0.567989,0
112,4,2,0.568649,0
112,4,3,0.567044,0
112,4,4,0.568375,0
112,4,5,0.547944,0
112,4,6,0.541343,0
112,4,7,0.567663,0
112,4,8,0.563364,0
112,4,9,0.565903,0
112,4,10,0.576076,0
112,6,1,0.584900,0
112,6,2,0.563107,0
112,6,3,0.584336,0
112,6,4,0.604539,0
112,6,5,0.595938,0
112,6,6,0.638977,0
112,6,7,0.615498,0
112,6,8,0.609189,0
112,6,9,0.612081,0
112,6,10,0.610534,0
112,8,1,0.599157,0
112,8,2,0.623537,0
112,8,3,0.635634,0
112,8,4,0.629236,0
112,8,5,0.651347,0
112,8,6,0.628419,0
112,8,7,0.585245,0
112,8,8,0.650205,0
112,8,9,0.627819,0
112,8,10,0.611160,0
120,2,1,0.597206,0
120,2,2,0.601025,0
120,2,3,0.602657,0
120,2,4,0.601439,0
120,2,5,0.607324,0
120,2,6,0.597692,0
120,2,7,0.577605,0
120,2,8,0.572667,0
120,2,9,0.593857,0
120,2,10,0.592846,0
120,4,1,0.626278,0
120,4,2,0.643961,0
120,4,3,0.622399,0
120,4,4,0.656125,0
120,4,5,0.626057,0
120,4,6,0.652366,0
120,4,7,0.656074,0
120,4,8,0.633542,0
120,4,9,0.636477,0
120,4,10,0.655477,0
120,6,1,0.634810,0
120,6,2,0.680983,0
120,6,3,0.674299,0
120,6,4,0.681749,0
120,6,5,0.692677,0
120,6,6,0.670325,0
120,6,7,0.664237,0
120,6,8,0.687561,0
120,6,9,0.686832,0
120,6,10,0.672592,0
120,8,1,0.710093,0
120,8,2,0.708557,0
120,8,3,0.686164,0
120,8,4,0.710193,0
120,8,5,0.712713,0
120,8,6,0.688942,0
120,8,7,0.703527,0
120,8,8,0.700551,0
120,8,9,0.700199,0
120,8,10,0.724878,0
128,2,1,0.665574,0
128,2,2,0.670781,0
128,2,3,0.657295,0
128,2,4,0.699638,0
128,2,5,0.667317,0
128,2,6,0.705623,0
128,2,7,0.664273,0
128,2,8,0.686289,0
128,2,9,0.685797,0
128,2,10,0.686010,0
128,4,1,0.720332,0
128,4,2,0.701458,0
128,4,3,0.695682,0
128,4,4,0.717832,0
128,4,5,0.732067,0
128,4,6,0.724560,0
128,4,7,0.707289,0
128,4,8,0.688037,0
128,4,9,0.706491,0
128,4,10,0.706717,0
128,6,1,0.728158,0
128,6,2,0.727373,0
128,6,3,0.744541,0
128,6,4,0.747716,0
128,6,5,0.727253,0
128,6,6,0.755393,0
128,6,7,0.749499,0
128,6,8,0.745822,0
128,6,9,0.751761,0
128,6,10,0.746857,0
128,8,1,0.824507,0
128,8,2,0.791923,0
128,8,3,0.838224,0
128,8,4,0.788481,0
128,8,5,0.887670,0
128,8,6,0.801060,0
128,8,7,0.912858,0
128,8,8,0.804561,0
128,8,9,0.827070,0
128,8,10,0.891233,0
136,2,1,0.926476,0
136,2,2,0.928829,0
136,2,3,0.919820,0
136,2,4,0.922546,0
136,2,5,0.883756,0
136,2,6,0.904974,0
136,2,7,0.921179,0
136,2,8,0.868790,0
136,2,9,0.917765,0
136,2,10,0.939044,0
136,4,1,0.897437,0
136,4,2,0.899880,0
136,4,3,0.922655,0
136,4,4,0.933369,0
136,4,5,0.886805,0
136,4,6,0.899188,0
136,4,7,0.919175,0
136,4,8,0.887916,0
136,4,9,0.873863,0
136,4,10,0.937344,0
136,6,1,0.892634,0
136,6,2,0.937257,0
136,6,3,0.886309,0
136,6,4,0.858676,0
136,6,5,0.935570,0
136,6,6,0.894781,0
136,6,7,0.894865,0
136,6,8,0.916309,0
136,6,9,0.886981,0
136,6,10,0.942874,0
136,8,1,0.882380,0
