variant,N,P,imb,delta,rep,seconds,rc
ghc,1000,2,100,0,5,0.022600,0
ghc,1000,2,100,0,6,0.022658,0
ghc,1000,2,100,0,7,0.012673,0
ghc,1000,2,100,0,8,0.012240,0
ghc,1000,2,100,0,9,0.011964,0
ghc,1000,2,100,0,10,0.011832,0
ghc,1000,2,100,2,1,0.023062,0
ghc,1000,2,100,2,2,0.022906,0
ghc,1000,2,100,2,3,0.012264,0
ghc,1000,2,100,2,4,0.012111,0
ghc,1000,2,100,2,5,0.012236,0
ghc,1000,2,100,2,6,0.012164,0
ghc,1000,2,100,2,7,0.012214,0
ghc,1000,2,100,2,8,0.011814,0
ghc,1000,2,100,2,9,0.012016,0
ghc,1000,2,100,2,10,0.012404,0
ghc,1000,2,100,-2,1,0.012573,0
ghc,1000,2,100,-2,2,0.012000,0
ghc,1000,2,100,-2,3,0.012101,0
ghc,1000,2,100,-2,4,0.012295,0
ghc,1000,2,100,-2,5,0.012258,0
ghc,1000,2,100,-2,6,0.012408,0
ghc,1000,2,100,-2,7,0.012194,0
ghc,1000,2,100,-2,8,0.012345,0
ghc,1000,2,100,-2,9,0.022671,0
ghc,1000,2,100,-2,10,0.012455,0
ghc,1000,4,1,0,1,0.012427,0
ghc,1000,4,1,0,2,0.012375,0
ghc,1000,4,1,0,3,0.012340,0
ghc,1000,4,1,0,4,0.012317,0
ghc,1000,4,1,0,5,0.012442,0
ghc,1000,4,1,0,6,0.012263,0
ghc,1000,4,1,0,7,0.012250,0
ghc,1000,4,1,0,8,0.012255,0
ghc,1000,4,1,0,9,0.012307,0
ghc,1000,4,1,0,10,0.012386,0
ghc,1000,4,1,2,1,0.012229,0
ghc,1000,4,1,2,2,0.012105,0
ghc,1000,4,1,2,3,0.012284,0
ghc,1000,4,1,2,4,0.012130,0
ghc,1000,4,1,2,5,0.012092,0
ghc,1000,4,1,2,6,0.012144,0
ghc,1000,4,1,2,7,0.012138,0
ghc,1000,4,1,2,8,0.012117,0
ghc,1000,4,1,2,9,0.012171,0
ghc,1000,4,1,2,10,0.012351,0
ghc,1000,4,1,-2,1,0.012400,0
ghc,1000,4,1,-2,2,0.012017,0
ghc,1000,4,1,-2,3,0.012198,0
ghc,1000,4,1,-2,4,0.012358,0
ghc,1000,4,1,-2,5,0.012088,0
ghc,1000,4,1,-2,6,0.012123,0
