variant,N,P,edge_prob,seed,rep,seconds,colors,valid,rc
parpseq,50,1,0.3,42,1,1.31973e-4,13,True,0
parpseq,50,1,0.3,42,2,1.21531e-4,13,True,0
parpseq,50,1,0.3,42,3,1.22648e-4,13,True,0
parpseq,50,2,0.3,42,1,2.23019e-4,14,True,0
parpseq,50,2,0.3,42,2,2.64708e-4,14,True,0
parpseq,50,2,0.3,42,3,1.5124e-4,14,True,0
parpseq,50,4,0.3,42,1,1.65101e-4,13,True,0
parpseq,50,4,0.3,42,2,1.62867e-4,13,True,0
parpseq,50,4,0.3,42,3,2.45345e-4,13,True,0
parpseq,50,8,0.3,42,1,2.24799e-4,14,True,0
parpseq,50,8,0.3,42,2,1.71031e-4,14,True,0
parpseq,50,8,0.3,42,3,1.65698e-4,14,True,0
parpseq,100,1,0.3,42,1,4.80505e-4,20,True,0
parpseq,100,1,0.3,42,2,4.86752e-4,20,True,0
parpseq,100,1,0.3,42,3,6.4813e-4,20,True,0
parpseq,100,2,0.3,42,1,7.41802e-4,24,True,0
parpseq,100,2,0.3,42,2,6.38946e-4,24,True,0
parpseq,100,2,0.3,42,3,5.84183e-4,24,True,0
parpseq,100,4,0.3,42,1,7.86409e-4,22,True,0
parpseq,100,4,0.3,42,2,7.07103e-4,22,True,0
parpseq,100,4,0.3,42,3,6.10678e-4,22,True,0
parpseq,100,8,0.3,42,1,5.82917e-4,22,True,0
parpseq,100,8,0.3,42,2,5.93461e-4,22,True,0
parpseq,100,8,0.3,42,3,8.87679e-4,22,True,0
parpseq,150,1,0.3,42,1,6.62564e-4,26,True,0
parpseq,150,1,0.3,42,2,7.31819e-4,26,True,0
parpseq,150,1,0.3,42,3,7.02078e-4,26,True,0
parpseq,150,2,0.3,42,1,7.95923e-4,32,True,0
parpseq,150,2,0.3,42,2,8.20227e-4,32,True,0
parpseq,150,2,0.3,42,3,7.97573e-4,32,True,0
parpseq,150,4,0.3,42,1,8.76677e-4,30,True,0
parpseq,150,4,0.3,42,2,8.21793e-4,30,True,0
parpseq,150,4,0.3,42,3,1.045662e-3,30,True,0
