variant,N,P,rep,seconds,rc
ghc,4000000,2,2,0.385444154,0
ghc,4000000,2,3,0.396233963,0
ghc,4000000,4,1,0.247132952,0
ghc,4000000,4,2,0.209212463,0
ghc,4000000,4,3,0.218001492,0
ghc,4000000,8,1,0.151120435,0
ghc,4000000,8,2,0.14989846,0
ghc,4000000,8,3,0.13861585,0
ghc,4000000,16,1,0.138368211,0
ghc,4000000,16,2,0.131418973,0
ghc,4000000,16,3,0.126288813,0
ghc,4000000,32,1,0.116448331,0
ghc,4000000,32,2,0.102397871,0
ghc,4000000,32,3,0.105852887,0
ghc,4500000,1,1,0.448922031,0
ghc,4500000,1,2,0.803004149,0
ghc,4500000,1,3,0.812246164,0
ghc,4500000,2,1,0.435718955,0
ghc,4500000,2,2,0.372938403,0
ghc,4500000,2,3,0.346321622,0
ghc,4500000,4,1,0.253193109,0
ghc,4500000,4,2,0.27194697,0
ghc,4500000,4,3,0.278686125,0
ghc,4500000,8,1,0.17670071,0
ghc,4500000,8,2,0.155576955,0
ghc,4500000,8,3,0.167225778,0
ghc,4500000,16,1,0.132691994,0
ghc,4500000,16,2,0.145851421,0
ghc,4500000,16,3,0.1447515,0
ghc,4500000,32,1,0.120713977,0
ghc,4500000,32,2,0.143103696,0
ghc,4500000,32,3,0.143153275,0
ghc,5000000,1,1,0.896797509,0
ghc,5000000,1,2,0.899522767,0
ghc,5000000,1,3,0.496019354,0
ghc,5000000,2,1,0.421578734,0
ghc,5000000,2,2,0.337289956,0
ghc,5000000,2,3,0.488795976,0
ghc,5000000,4,1,0.250940147,0
ghc,5000000,4,2,0.255976832,0
ghc,5000000,4,3,0.27134247,0
ghc,5000000,8,1,0.187802904,0
ghc,5000000,8,2,0.206164174,0
ghc,5000000,8,3,0.19061392,0
ghc,5000000,16,1,0.162908178,0
ghc,5000000,16,2,0.163577123,0
ghc,5000000,16,3,0.167160556,0
ghc,5000000,32,1,0.136924719,0
ghc,5000000,32,2,0.142332872,0
ghc,5000000,32,3,0.139528206,0
ghc,5500000,1,1,0.880260967,0
ghc,5500000,1,2,0.87058016,0
ghc,5500000,1,3,0.995114498,0
ghc,5500000,2,1,0.30798653,0
ghc,5500000,2,2,0.398264135,0
ghc,5500000,2,3,0.464099472,0
ghc,5500000,4,1,0.25405511,0
ghc,5500000,4,2,0.237006195,0
ghc,5500000,4,3,0.257478819,0
ghc,5500000,8,1,0.204503359,0
ghc,5500000,8,2,0.200199533,0
ghc,5500000,8,3,0.214750826,0
ghc,5500000,16,1,0.166913756,0
ghc,5500000,16,2,0.160114958,0
ghc,5500000,16,3,0.175442587,0
ghc,5500000,32,1,0.171792402,0
ghc,5500000,32,2,0.159429193,0
ghc,5500000,32,3,0.13865118,0
ghc,6000000,1,1,1.080773603,0
ghc,6000000,1,2,0.600957894,0
ghc,6000000,1,3,0.595502881,0
ghc,6000000,2,1,0.459330401,0
ghc,6000000,2,2,0.327238262,0
ghc,6000000,2,3,0.448492713,0
ghc,6000000,4,1,0.372577699,0
ghc,6000000,4,2,0.307317879,0
ghc,6000000,4,3,0.323327526,0
ghc,6000000,8,1,0.24530295,0
ghc,6000000,8,2,0.230332617,0
ghc,6000000,8,3,0.269594616,0
ghc,6000000,16,1,0.193513218,0
ghc,6000000,16,2,0.198258337,0
ghc,6000000,16,3,0.176168941,0
ghc,6000000,32,1,0.17398207,0
ghc,6000000,32,2,0.163816653,0
ghc,6000000,32,3,0.1482068,0
ghc,6500000,1,1,0.646354465,0
ghc,6500000,1,2,0.643462068,0
ghc,6500000,1,3,0.849674982,0
ghc,6500000,2,1,0.479533951,0
ghc,6500000,2,2,0.622095809,0
ghc,6500000,2,3,0.631754575,0
ghc,6500000,4,1,0.401386031,0
ghc,6500000,4,2,0.370497596,0
ghc,6500000,4,3,0.337119832,0
ghc,6500000,8,1,0.231749122,0
ghc,6500000,8,2,0.245702903,0
ghc,6500000,8,3,0.2228528,0
ghc,6500000,16,1,0.177252055,0
ghc,6500000,16,2,0.183314806,0
ghc,6500000,16,3,0.190028976,0
ghc,6500000,32,1,0.19169068,0
ghc,6500000,32,2,0.200759961,0
ghc,6500000,32,3,0.192258991,0
ghc,7000000,1,1,1.057442089,0
ghc,7000000,1,2,0.709533261,0
ghc,7000000,1,3,0.701529746,0
ghc,7000000,2,1,0.722421901,0
ghc,7000000,2,2,0.683086464,0
ghc,7000000,2,3,0.519391136,0
ghc,7000000,4,1,0.360699379,0
ghc,7000000,4,2,0.283862013,0
ghc,7000000,4,3,0.331632274,0
ghc,7000000,8,1,0.258992877,0
ghc,7000000,8,2,0.232937155,0
ghc,7000000,8,3,0.231757988,0
ghc,7000000,16,1,0.211908412,0
ghc,7000000,16,2,0.182738302,0
ghc,7000000,16,3,0.178300489,0
ghc,7000000,32,1,0.175137755,0
ghc,7000000,32,2,0.170767384,0
ghc,7000000,32,3,0.201091927,0
ghc,7500000,1,1,0.747624644,0
ghc,7500000,1,2,0.755390071,0
ghc,7500000,1,3,1.162996056,0
ghc,7500000,2,1,0.558710658,0
ghc,7500000,2,2,0.526873598,0
ghc,7500000,2,3,0.421350126,0
ghc,7500000,4,1,0.335466806,0
ghc,7500000,4,2,0.370380367,0
ghc,7500000,4,3,0.29875229,0
ghc,7500000,8,1,0.261372906,0
ghc,7500000,8,2,0.262389572,0
ghc,7500000,8,3,0.244494126,0
ghc,7500000,16,1,0.223500332,0
ghc,7500000,16,2,0.248548666,0
ghc,7500000,16,3,0.236356101,0
ghc,7500000,32,1,0.222949951,0
ghc,7500000,32,2,0.202130577,0
ghc,7500000,32,3,0.227996697,0
ghc,8000000,1,1,0.816600404,0
ghc,8000000,1,2,1.253636246,0
ghc,8000000,1,3,0.810583844,0
ghc,8000000,2,1,0.600662729,0
ghc,8000000,2,2,0.458643164,0
ghc,8000000,2,3,0.447628197,0
ghc,8000000,4,1,0.363618819,0
ghc,8000000,4,2,0.443576595,0
ghc,8000000,4,3,0.426426031,0
ghc,8000000,8,1,0.314996723,0
ghc,8000000,8,2,0.279126739,0
ghc,8000000,8,3,0.302824974,0
ghc,8000000,16,1,0.272998027,0
ghc,8000000,16,2,0.219296939,0
ghc,8000000,16,3,0.270793491,0
ghc,8000000,32,1,0.237565303,0
ghc,8000000,32,2,0.203900354,0
ghc,8000000,32,3,0.218610643,0
ghc,8500000,1,1,1.338647296,0
ghc,8500000,1,2,1.168119579,0
ghc,8500000,1,3,0.859020702,0
ghc,8500000,2,1,0.550490093,0
ghc,8500000,2,2,0.685137291,0
ghc,8500000,2,3,0.663982406,0
ghc,8500000,4,1,0.410026877,0
ghc,8500000,4,2,0.422357556,0
ghc,8500000,4,3,0.370409352,0
ghc,8500000,8,1,0.320108844,0
ghc,8500000,8,2,0.270402977,0
ghc,8500000,8,3,0.303164155,0
ghc,8500000,16,1,0.239580318,0
ghc,8500000,16,2,0.294207801,0
ghc,8500000,16,3,0.230792933,0
ghc,8500000,32,1,0.264946574,0
ghc,8500000,32,2,0.244823751,0
ghc,8500000,32,3,0.255138703,0
ghc,9000000,1,1,1.500447368,0
ghc,9000000,1,2,1.151038304,0
ghc,9000000,1,3,0.905186562,0
ghc,9000000,2,1,0.716865033,0
ghc,9000000,2,2,0.919678398,0
ghc,9000000,2,3,0.702883268,0
ghc,9000000,4,1,0.438807323,0
ghc,9000000,4,2,0.382447739,0
ghc,9000000,4,3,0.42757939,0
ghc,9000000,8,1,0.41447757,0
ghc,9000000,8,2,0.299879639,0
ghc,9000000,8,3,0.33386666,0
ghc,9000000,16,1,0.288921462,0
ghc,9000000,16,2,0.263155229,0
ghc,9000000,16,3,0.266944737,0
ghc,9000000,32,1,0.273181169,0
ghc,9000000,32,2,0.271812986,0
ghc,9000000,32,3,0.257118404,0
ghc,9500000,1,1,1.439289119,0
ghc,9500000,1,2,1.390910757,0
ghc,9500000,1,3,1.265664399,0
ghc,9500000,2,1,0.975863671,0
ghc,9500000,2,2,0.721466921,0
ghc,9500000,2,3,0.771600042,0
ghc,9500000,4,1,0.446274331,0
ghc,9500000,4,2,0.517833636,0
ghc,9500000,4,3,0.509017969,0
ghc,9500000,8,1,0.330076541,0
ghc,9500000,8,2,0.352732059,0
ghc,9500000,8,3,0.332552384,0
