variant,N,P,rep,seconds,rc
asm,20000,10,4,1.694865,0
asm,20000,10,5,1.780849,0
asm,20000,10,6,1.729090,0
asm,20000,10,7,1.802950,0
asm,20000,10,8,1.767019,0
asm,20000,10,9,1.745132,0
asm,20000,10,10,1.753774,0
asm,20000,12,1,1.847687,0
asm,20000,12,2,1.797920,0
asm,20000,12,3,1.866145,0
asm,20000,12,4,1.876067,0
asm,20000,12,5,1.760690,0
asm,20000,12,6,1.743501,0
asm,20000,12,7,1.776749,0
asm,20000,12,8,1.777902,0
asm,20000,12,9,1.787121,0
asm,20000,12,10,1.775485,0
asm,25000,2,1,1.908734,0
asm,25000,2,2,1.847414,0
asm,25000,2,3,1.836333,0
asm,25000,2,4,1.882963,0
asm,25000,2,5,1.842181,0
asm,25000,2,6,1.825212,0
asm,25000,2,7,1.857026,0
asm,25000,2,8,1.834140,0
asm,25000,2,9,1.878911,0
asm,25000,2,10,1.849118,0
asm,25000,4,1,2.070888,0
asm,25000,4,2,2.044147,0
asm,25000,4,3,2.072120,0
asm,25000,4,4,2.044207,0
asm,25000,4,5,2.023723,0
asm,25000,4,6,2.092768,0
asm,25000,4,7,2.024257,0
asm,25000,4,8,2.052559,0
asm,25000,4,9,2.071407,0
asm,25000,4,10,2.041754,0
asm,25000,6,1,1.949271,0
asm,25000,6,2,2.038844,0
asm,25000,6,3,2.044573,0
asm,25000,6,4,2.026564,0
asm,25000,6,5,2.006067,0
asm,25000,6,6,1.959835,0
asm,25000,6,7,1.999935,0
asm,25000,6,8,1.981884,0
asm,25000,6,9,1.961087,0
asm,25000,6,10,1.950797,0
asm,25000,8,1,2.155844,0
asm,25000,8,2,2.173928,0
asm,25000,8,3,2.109409,0
asm,25000,8,4,2.155861,0
asm,25000,8,5,2.180471,0
asm,25000,8,6,2.201844,0
asm,25000,8,7,2.180601,0
asm,25000,8,8,2.171028,0
asm,25000,8,9,2.178951,0
asm,25000,8,10,2.167088,0
asm,25000,10,1,2.153255,0
asm,25000,10,2,2.188045,0
asm,25000,10,3,2.157488,0
asm,25000,10,4,2.152118,0
asm,25000,10,5,2.167795,0
asm,25000,10,6,2.163920,0
asm,25000,10,7,2.184251,0
asm,25000,10,8,2.147985,0
asm,25000,10,9,2.174808,0
asm,25000,10,10,2.141994,0
asm,25000,12,1,2.199348,0
asm,25000,12,2,2.185001,0
asm,25000,12,3,2.180234,0
asm,25000,12,4,2.156584,0
asm,25000,12,5,2.126548,0
asm,25000,12,6,2.155409,0
asm,25000,12,7,2.180605,0
asm,25000,12,8,2.270281,0
asm,25000,12,9,2.269776,0
asm,25000,12,10,2.273822,0
asm,30000,2,1,2.227542,0
asm,30000,2,2,2.193576,0
asm,30000,2,3,2.225912,0
asm,30000,2,4,2.234365,0
asm,30000,2,5,2.270245,0
asm,30000,2,6,2.245437,0
asm,30000,2,7,2.264590,0
asm,30000,2,8,2.212196,0
asm,30000,2,9,2.176414,0
asm,30000,2,10,2.200227,0
asm,30000,4,1,2.464605,0
asm,30000,4,2,2.410410,0
asm,30000,4,3,2.463119,0
asm,30000,4,4,2.537893,0
asm,30000,4,5,2.518605,0
asm,30000,4,6,2.495749,0
asm,30000,4,7,2.476263,0
asm,30000,4,8,2.432750,0
asm,30000,4,9,2.440998,0
asm,30000,4,10,2.518608,0
asm,30000,6,1,2.384063,0
asm,30000,6,2,2.339748,0
asm,30000,6,3,2.338516,0
asm,30000,6,4,2.358968,0
asm,30000,6,5,2.330847,0
asm,30000,6,6,2.350609,0
asm,30000,6,7,2.386794,0
asm,30000,6,8,2.400259,0
asm,30000,6,9,2.378621,0
asm,30000,6,10,2.370410,0
asm,30000,8,1,2.569285,0
asm,30000,8,2,2.539603,0
asm,30000,8,3,2.599960,0
asm,30000,8,4,2.607028,0
asm,30000,8,5,2.594894,0
asm,30000,8,6,2.584757,0
asm,30000,8,7,2.639047,0
asm,30000,8,8,2.577942,0
asm,30000,8,9,2.625290,0
asm,30000,8,10,2.583398,0
asm,30000,10,1,2.572662,0
asm,30000,10,2,2.550393,0
asm,30000,10,3,2.504661,0
asm,30000,10,4,2.576686,0
asm,30000,10,5,2.565110,0
asm,30000,10,6,2.534960,0
asm,30000,10,7,2.563527,0
asm,30000,10,8,2.583994,0
asm,30000,10,9,2.544857,0
asm,30000,10,10,2.558042,0
asm,30000,12,1,2.639653,0
asm,30000,12,2,2.636791,0
