LCS WAVEFRONT — median speedup with 95% bootstrap CI (10000 paired resamples)
Format: median× [lo×, hi×]

=== N=100000 (SEQ Haskell median = 50.04s; n=14 reps) ===
   P |                 Ribault-Hs |                  Ribault-C |               Ribault-Rust |                  GHC Strat |                     Sucuri |                     Timely |                 Timely-Reb
=== N=300000 (SEQ Haskell median = 587.24s; n=14 reps) ===
   P |                 Ribault-Hs |                  Ribault-C |               Ribault-Rust |                  GHC Strat |                     Sucuri |                     Timely |                 Timely-Reb
   2 |  2.68× [ 2.63,  2.73] | 19.33× [19.13, 19.57] | 11.86× [11.71, 12.03] |  1.97× [ 1.94,  2.00] |  4.27× [ 4.18,  4.38] | 11.32× [11.11, 11.44] | 11.39× [11.01, 11.59]
   3 |  3.47× [ 3.43,  3.52] | 28.13× [27.40, 28.38] | 17.94× [17.50, 18.21] |  2.77× [ 2.72,  2.80] |  6.79× [ 6.61,  6.94] | 16.40× [15.90, 16.56] | 17.16× [16.64, 17.42]
   4 |  4.48× [ 4.37,  4.52] | 35.85× [35.31, 36.59] | 22.83× [22.56, 23.48] |  3.29× [ 3.25,  3.36] |  8.42× [ 8.27,  8.60] | 20.69× [20.37, 21.13] | 21.68× [21.38, 22.04]
   7 |  6.15× [ 6.06,  6.30] | 59.54× [58.66, 60.38] | 37.46× [36.83, 37.81] |  5.09× [ 4.27,  5.26] | 10.18× [ 9.98, 10.42] | 18.96× [18.39, 19.27] | 19.80× [19.30, 20.07]
   8 |  7.40× [ 7.26,  7.62] | 63.66× [62.82, 64.39] | 41.29× [40.86, 41.65] |  4.40× [ 4.26,  4.51] |  9.70× [ 9.47,  9.80] | 37.31× [36.72, 37.64] | 40.48× [39.39, 40.85]
  13 |  9.26× [ 9.07,  9.42] | 93.41× [91.87, 94.90] | 62.81× [62.03, 63.56] |  6.28× [ 6.17,  6.40] |  9.98× [ 9.87, 10.14] | 57.64× [56.85, 59.08] | 59.36× [54.47, 59.86]
  16 | 12.33× [12.17, 12.52] | 101.81× [100.07, 103.10] | 72.18× [71.41, 73.07] |  7.23× [ 7.14,  7.48] |  9.69× [ 9.59,  9.81] | 68.23× [67.23, 68.86] | 68.93× [65.16, 69.81]
  19 | 12.72× [12.47, 12.84] | 105.25× [103.96, 107.66] | 73.00× [71.59, 77.27] |  8.50× [ 8.42,  8.83] |  9.63× [ 9.53,  9.72] | 45.10× [44.63, 45.48] | 38.31× [37.90, 38.61]
  23 | 13.98× [13.62, 14.38] | 108.37× [104.05, 110.01] | 84.25× [82.59, 85.27] |  9.71× [ 9.60,  9.79] |  9.58× [ 9.47,  9.66] | 53.79× [53.22, 54.24] | 46.21× [45.72, 46.60]
  24 | 16.17× [14.82, 16.37] | 98.07× [95.17, 99.44] | 83.05× [81.55, 84.61] |  9.72× [ 9.62,  9.80] |  9.57× [ 9.46,  9.72] | 81.01× [79.86, 81.71] | 81.69× [80.81, 82.38]
  32 | 17.60× [17.34, 17.74] | 85.78× [84.27, 87.21] | 74.23× [73.09, 75.10] |  9.72× [ 9.62,  9.80] |  8.75× [ 8.37,  9.24] | 82.48× [81.36, 83.26] | 79.17× [78.05, 86.27]
  48 | 17.24× [16.90, 19.22] | 56.84× [49.91, 63.96] | 50.55× [49.62, 55.33] |  9.70× [ 9.60,  9.78] |  7.91× [ 7.55,  8.05] | 55.73× [54.77, 56.21] | 55.31× [54.17, 56.24]

=== N=400000 (SEQ Haskell median = 1059.86s; n=14 reps) ===
   P |                 Ribault-Hs |                  Ribault-C |               Ribault-Rust |                  GHC Strat |                     Sucuri |                     Timely |                 Timely-Reb
   2 |  2.71× [ 2.68,  2.83] | 19.57× [19.33, 20.45] | 12.07× [11.95, 12.63] |  2.05× [ 2.02,  2.15] |  4.41× [ 4.22,  4.61] | 11.35× [11.22, 11.86] | 11.60× [11.27, 12.10]
   3 |  3.47× [ 3.41,  3.62] | 27.14× [26.67, 28.22] | 17.85× [17.49, 18.91] |  2.81× [ 2.76,  2.93] |  6.41× [ 6.34,  6.72] |  3.04× [ 3.00,  3.19] |  8.97× [ 8.87,  9.41]
   4 |  4.49× [ 4.44,  4.70] | 36.88× [36.56, 38.65] | 22.99× [22.74, 24.11] |  3.55× [ 3.49,  3.72] |  8.17× [ 8.03,  8.55] | 21.46× [21.15, 22.42] | 21.27× [21.04, 22.28]
   7 |  6.31× [ 6.14,  6.57] | 57.92× [57.24, 60.61] | 38.14× [37.59, 39.73] |  5.54× [ 5.44,  5.81] |  9.68× [ 9.60, 10.15] | 34.83× [34.25, 36.43] | 35.99× [35.01, 37.95]
   8 |  7.95× [ 7.80,  8.33] | 64.79× [63.97, 67.76] | 42.44× [42.02, 44.44] |  4.90× [ 4.59,  5.95] |  9.82× [ 9.74, 10.30] | 38.82× [37.64, 40.50] | 41.10× [40.54, 42.88]
  13 |  9.23× [ 9.09,  9.61] | 86.29× [84.15, 91.04] | 56.99× [55.84, 60.37] |  7.25× [ 7.07,  7.61] | 10.31× [10.17, 10.76] | 32.96× [32.66, 34.53] | 32.91× [32.45, 34.40]
  16 | 12.79× [12.60, 13.36] | 109.11× [107.84, 114.32] | 71.56× [66.29, 75.65] |  8.20× [ 8.13,  8.59] | 10.17× [10.08, 10.62] | 70.63× [68.38, 73.96] | 70.76× [69.85, 73.90]
  19 | 12.60× [12.40, 13.19] | 118.10× [116.65, 123.37] | 76.12× [75.04, 80.96] |  9.30× [ 9.11,  9.73] | 10.15× [10.05, 10.64] | 81.01× [79.98, 84.62] | 80.82× [80.11, 84.77]
  23 | 14.34× [14.21, 15.37] | 121.17× [119.50, 126.75] | 90.16× [87.74, 95.51] | 10.92× [10.83, 11.55] |  9.94× [ 9.84, 10.42] | 55.39× [54.91, 58.09] | 47.07× [46.63, 49.17]
