variant,N,P,edge_prob,seed,rep,seconds,colors,valid,rc
ghc,400,4,0.01,42,3,5.11086e-4,7,True,0
ghc,400,8,0.01,42,1,5.35497e-4,8,True,0
ghc,400,8,0.01,42,2,5.29372e-4,8,True,0
ghc,400,8,0.01,42,3,6.0306e-4,8,True,0
ghc,450,1,0.01,42,1,5.56608e-4,7,True,0
ghc,450,1,0.01,42,2,5.51726e-4,7,True,0
ghc,450,1,0.01,42,3,5.55836e-4,7,True,0
ghc,450,2,0.01,42,1,6.01411e-4,7,True,0
ghc,450,2,0.01,42,2,5.90294e-4,7,True,0
ghc,450,2,0.01,42,3,5.91135e-4,7,True,0
ghc,450,4,0.01,42,1,6.28868e-4,9,True,0
ghc,450,4,0.01,42,2,6.16812e-4,9,True,0
ghc,450,4,0.01,42,3,6.3182e-4,9,True,0
ghc,450,8,0.01,42,1,7.07004e-4,7,True,0
ghc,450,8,0.01,42,2,6.36699e-4,7,True,0
ghc,450,8,0.01,42,3,6.56125e-4,7,True,0
ghc,500,1,0.01,42,1,7.18491e-4,8,True,0
ghc,500,1,0.01,42,2,6.92423e-4,8,True,0
ghc,500,1,0.01,42,3,6.87143e-4,8,True,0
ghc,500,2,0.01,42,1,7.83851e-4,8,True,0
ghc,500,2,0.01,42,2,7.44359e-4,8,True,0
ghc,500,2,0.01,42,3,7.78589e-4,8,True,0
ghc,500,4,0.01,42,1,1.239411e-3,8,True,0
ghc,500,4,0.01,42,2,8.05975e-4,8,True,0
ghc,500,4,0.01,42,3,1.044539e-3,8,True,0
ghc,500,8,0.01,42,1,7.93777e-4,8,True,0
ghc,500,8,0.01,42,2,7.81528e-4,8,True,0
ghc,500,8,0.01,42,3,7.89562e-4,8,True,0
ghc,550,1,0.01,42,1,8.08527e-4,8,True,0
ghc,550,1,0.01,42,2,8.10325e-4,8,True,0
ghc,550,1,0.01,42,3,8.57886e-4,8,True,0
ghc,550,2,0.01,42,1,9.12869e-4,8,True,0
ghc,550,2,0.01,42,2,8.86344e-4,8,True,0
ghc,550,2,0.01,42,3,9.02346e-4,8,True,0
ghc,550,4,0.01,42,1,1.026391e-3,8,True,0
ghc,550,4,0.01,42,2,9.12912e-4,8,True,0
ghc,550,4,0.01,42,3,9.02846e-4,8,True,0
ghc,550,8,0.01,42,1,9.31366e-4,9,True,0
ghc,550,8,0.01,42,2,1.020861e-3,9,True,0
ghc,550,8,0.01,42,3,9.43028e-4,9,True,0
