n,p,mean_ms,samples
16,4,2.3816025350242853,2
24,4,2.530357101932168,2
32,4,2.6449364377185702,2
40,4,2.617204445414245,2
48,4,2.515484346076846,2
56,4,2.8727916069328785,2
