variant,N,P,imb,delta,rep,seconds,rc
super,14000,2,1,0,9,0.640736,0
super,14000,2,1,0,10,0.647628,0
super,15000,2,1,0,1,0.643866,0
super,15000,2,1,0,2,0.639316,0
super,15000,2,1,0,3,0.640050,0
super,15000,2,1,0,4,0.661081,0
super,15000,2,1,0,5,0.762900,0
super,15000,2,1,0,6,0.858865,0
super,15000,2,1,0,7,0.716939,0
super,15000,2,1,0,8,0.687817,0
super,15000,2,1,0,9,0.759825,0
super,15000,2,1,0,10,0.733876,0
super,16000,2,1,0,1,0.661371,0
super,16000,2,1,0,2,0.758237,0
super,16000,2,1,0,3,0.731442,0
super,16000,2,1,0,4,0.665843,0
super,16000,2,1,0,5,0.703364,0
super,16000,2,1,0,6,0.735093,0
super,16000,2,1,0,7,0.729561,0
super,16000,2,1,0,8,0.655848,0
super,16000,2,1,0,9,0.646099,0
super,16000,2,1,0,10,0.621053,0
super,17000,2,1,0,1,0.648381,0
super,17000,2,1,0,2,0.650428,0
super,17000,2,1,0,3,0.648297,0
super,17000,2,1,0,4,0.650210,0
super,17000,2,1,0,5,0.643137,0
super,17000,2,1,0,6,0.641269,0
super,17000,2,1,0,7,0.661017,0
super,17000,2,1,0,8,0.647418,0
super,17000,2,1,0,9,0.668584,0
super,17000,2,1,0,10,0.641114,0
super,18000,2,1,0,1,0.661942,0
super,18000,2,1,0,2,0.665722,0
super,18000,2,1,0,3,0.654546,0
super,18000,2,1,0,4,0.742049,0
super,18000,2,1,0,5,0.727410,0
super,18000,2,1,0,6,0.664025,0
super,18000,2,1,0,7,0.732180,0
super,18000,2,1,0,8,0.702684,0
super,18000,2,1,0,9,0.650463,0
super,18000,2,1,0,10,0.717602,0
super,19000,2,1,0,1,0.696826,0
super,19000,2,1,0,2,0.717222,0
super,19000,2,1,0,3,0.662315,0
super,19000,2,1,0,4,0.722015,0
super,19000,2,1,0,5,0.712826,0
super,19000,2,1,0,6,0.662221,0
super,19000,2,1,0,7,0.722998,0
super,19000,2,1,0,8,0.657940,0
super,19000,2,1,0,9,0.643196,0
super,19000,2,1,0,10,0.681184,0
super,20000,2,1,0,1,0.667393,0
super,20000,2,1,0,2,0.670309,0
super,20000,2,1,0,3,0.649924,0
super,20000,2,1,0,4,0.641883,0
super,20000,2,1,0,5,0.639555,0
super,20000,2,1,0,6,0.645649,0
super,20000,2,1,0,7,0.638948,0
super,20000,2,1,0,8,0.645887,0
super,20000,2,1,0,9,0.640405,0
super,20000,2,1,0,10,0.654505,0
super,1000,2,1,2,1,0.643951,0
super,1000,2,1,2,2,0.653383,0
super,1000,2,1,2,3,0.720268,0
super,1000,2,1,2,4,0.679765,0
super,1000,2,1,2,5,0.660835,0
super,1000,2,1,2,6,0.706924,0
super,1000,2,1,2,7,0.674452,0
super,1000,2,1,2,8,0.661037,0
super,1000,2,1,2,9,0.684267,0
super,1000,2,1,2,10,0.650263,0
super,2000,2,1,2,1,0.646582,0
super,2000,2,1,2,2,0.720050,0
super,2000,2,1,2,3,0.704225,0
super,2000,2,1,2,4,0.659656,0
super,2000,2,1,2,5,0.696716,0
super,2000,2,1,2,6,0.707004,0
super,2000,2,1,2,7,0.639985,0
super,2000,2,1,2,8,0.672389,0
super,2000,2,1,2,9,0.632770,0
super,2000,2,1,2,10,0.642319,0
super,3000,2,1,2,1,0.653770,0
super,3000,2,1,2,2,0.656999,0
super,3000,2,1,2,3,0.656031,0
super,3000,2,1,2,4,0.646940,0
super,3000,2,1,2,5,0.646052,0
super,3000,2,1,2,6,0.648113,0
super,3000,2,1,2,7,0.630721,0
super,3000,2,1,2,8,0.630752,0
super,3000,2,1,2,9,0.649362,0
super,3000,2,1,2,10,0.642930,0
super,4000,2,1,2,1,0.657726,0
super,4000,2,1,2,2,0.659527,0
super,4000,2,1,2,3,0.696708,0
super,4000,2,1,2,4,0.708571,0
super,4000,2,1,2,5,0.678795,0
super,4000,2,1,2,6,0.700111,0
super,4000,2,1,2,7,0.690002,0
super,4000,2,1,2,8,0.657333,0
super,4000,2,1,2,9,0.693277,0
super,4000,2,1,2,10,0.693487,0
