variant,N,P,rep,seconds,rc
ghc,200,2,8,2.4083101e-2,0
ghc,200,2,9,2.4491827e-2,0
ghc,200,2,10,2.5527545e-2,0
ghc,200,4,1,1.6284118e-2,0
ghc,200,4,2,1.8826075e-2,0
ghc,200,4,3,1.5665182e-2,0
ghc,200,4,4,1.5755167e-2,0
ghc,200,4,5,1.6744418e-2,0
ghc,200,4,6,1.5905222e-2,0
ghc,200,4,7,1.5891826e-2,0
ghc,200,4,8,1.4446615e-2,0
ghc,200,4,9,1.6075844e-2,0
ghc,200,4,10,1.7632166e-2,0
ghc,200,8,1,1.3321567e-2,0
ghc,200,8,2,1.5055287e-2,0
ghc,200,8,3,1.3853428e-2,0
ghc,200,8,4,1.3428122e-2,0
ghc,200,8,5,1.4955467e-2,0
ghc,200,8,6,1.5544472e-2,0
ghc,200,8,7,1.5947528e-2,0
ghc,200,8,8,1.7671048e-2,0
ghc,200,8,9,1.6982703e-2,0
ghc,200,8,10,1.3065437e-2,0
ghc,250,1,1,9.5354113e-2,0
ghc,250,1,2,0.100143538,0
ghc,250,1,3,9.1756818e-2,0
ghc,250,1,4,9.1612794e-2,0
ghc,250,1,5,0.111538388,0
ghc,250,1,6,0.123844818,0
ghc,250,1,7,0.223355724,0
ghc,250,1,8,0.111601161,0
ghc,250,1,9,0.122353698,0
ghc,250,1,10,0.151737006,0
ghc,250,2,1,8.6472355e-2,0
ghc,250,2,2,7.005168e-2,0
ghc,250,2,3,6.1091363e-2,0
ghc,250,2,4,5.6011464e-2,0
ghc,250,2,5,6.3265232e-2,0
ghc,250,2,6,7.0730639e-2,0
ghc,250,2,7,5.7835014e-2,0
ghc,250,2,8,7.5989355e-2,0
ghc,250,2,9,7.569321e-2,0
ghc,250,2,10,6.6577346e-2,0
ghc,250,4,1,3.5918401e-2,0
ghc,250,4,2,3.608489e-2,0
ghc,250,4,3,3.1650487e-2,0
ghc,250,4,4,3.2063303e-2,0
ghc,250,4,5,3.6368873e-2,0
ghc,250,4,6,3.9155393e-2,0
ghc,250,4,7,2.9735903e-2,0
ghc,250,4,8,2.992455e-2,0
ghc,250,4,9,3.1418067e-2,0
ghc,250,4,10,3.3144447e-2,0
ghc,250,8,1,2.356631e-2,0
ghc,250,8,2,2.0822851e-2,0
ghc,250,8,3,2.6967837e-2,0
ghc,250,8,4,2.7527132e-2,0
ghc,250,8,5,2.663551e-2,0
ghc,250,8,6,2.5570247e-2,0
ghc,250,8,7,2.4294032e-2,0
ghc,250,8,8,3.0275103e-2,0
ghc,250,8,9,3.0251863e-2,0
ghc,250,8,10,2.7440429e-2,0
ghc,300,1,1,0.199564866,0
ghc,300,1,2,0.24993051,0
ghc,300,1,3,0.205656829,0
ghc,300,1,4,0.202130873,0
ghc,300,1,5,0.233743384,0
ghc,300,1,6,0.25271599,0
ghc,300,1,7,0.19397053,0
ghc,300,1,8,0.234581888,0
ghc,300,1,9,0.18399423,0
ghc,300,1,10,0.192414901,0
ghc,300,2,1,0.101863591,0
ghc,300,2,2,0.123153624,0
ghc,300,2,3,0.132249023,0
ghc,300,2,4,0.130446005,0
ghc,300,2,5,0.115096442,0
ghc,300,2,6,0.201685882,0
ghc,300,2,7,0.153425584,0
ghc,300,2,8,0.134005036,0
ghc,300,2,9,0.13291745,0
ghc,300,2,10,0.132074979,0
ghc,300,4,1,6.0364916e-2,0
ghc,300,4,2,7.7716831e-2,0
ghc,300,4,3,8.3931302e-2,0
ghc,300,4,4,7.3586588e-2,0
ghc,300,4,5,7.4321675e-2,0
ghc,300,4,6,8.5511544e-2,0
ghc,300,4,7,8.8469766e-2,0
ghc,300,4,8,7.9767118e-2,0
ghc,300,4,9,7.3841004e-2,0
ghc,300,4,10,7.0098239e-2,0
ghc,300,8,1,4.8672102e-2,0
ghc,300,8,2,4.7742826e-2,0
ghc,300,8,3,4.3448928e-2,0
ghc,300,8,4,5.6966075e-2,0
ghc,300,8,5,6.4579489e-2,0
ghc,300,8,6,5.2422077e-2,0
ghc,300,8,7,4.6433818e-2,0
ghc,300,8,8,4.838791e-2,0
ghc,300,8,9,4.5213352e-2,0
ghc,300,8,10,4.4130144e-2,0
ghc,350,1,1,0.359820012,0
ghc,350,1,2,0.513734099,0
ghc,350,1,3,0.41976495,0
ghc,350,1,4,0.463017857,0
ghc,350,1,5,0.433335274,0
ghc,350,1,6,0.39019448,0
ghc,350,1,7,0.446675417,0
ghc,350,1,8,0.507577669,0
ghc,350,1,9,0.439096138,0
ghc,350,1,10,0.554555542,0
ghc,350,2,1,0.273561218,0
ghc,350,2,2,0.250597917,0
ghc,350,2,3,0.243061832,0
ghc,350,2,4,0.231579467,0
ghc,350,2,5,0.218328633,0
ghc,350,2,6,0.211912761,0
ghc,350,2,7,0.285974024,0
ghc,350,2,8,0.22432982,0
ghc,350,2,9,0.198234054,0
ghc,350,2,10,0.190225678,0
ghc,350,4,1,9.0797263e-2,0
ghc,350,4,2,0.113840458,0
ghc,350,4,3,0.108688989,0
ghc,350,4,4,9.316505e-2,0
ghc,350,4,5,9.748791e-2,0
ghc,350,4,6,0.119960455,0
ghc,350,4,7,0.122242906,0
ghc,350,4,8,9.9601712e-2,0
ghc,350,4,9,9.4068429e-2,0
ghc,350,4,10,0.135351104,0
ghc,350,8,1,8.3713641e-2,0
ghc,350,8,2,7.1242341e-2,0
ghc,350,8,3,7.6314732e-2,0
ghc,350,8,4,8.6295039e-2,0
ghc,350,8,5,6.4267977e-2,0
ghc,350,8,6,6.9086181e-2,0
ghc,350,8,7,6.2742846e-2,0
ghc,350,8,8,6.0100451e-2,0
ghc,350,8,9,6.698445e-2,0
ghc,350,8,10,6.0147471e-2,0
ghc,400,1,1,0.514670224,0
ghc,400,1,2,0.490921335,0
ghc,400,1,3,0.505582536,0
ghc,400,1,4,0.524709828,0
ghc,400,1,5,0.53500323,0
ghc,400,1,6,0.490673315,0
ghc,400,1,7,0.530518238,0
ghc,400,1,8,0.488208573,0
ghc,400,1,9,0.532485088,0
ghc,400,1,10,0.473318803,0
ghc,400,2,1,0.280522653,0
ghc,400,2,2,0.255096387,0
ghc,400,2,3,0.274421001,0
ghc,400,2,4,0.290067419,0
ghc,400,2,5,0.281796848,0
ghc,400,2,6,0.307892291,0
ghc,400,2,7,0.297101543,0
ghc,400,2,8,0.337272979,0
ghc,400,2,9,0.273207032,0
ghc,400,2,10,0.358785278,0
ghc,400,4,1,0.182696214,0
ghc,400,4,2,0.185316292,0
ghc,400,4,3,0.163248923,0
ghc,400,4,4,0.161491473,0
ghc,400,4,5,0.146559201,0
ghc,400,4,6,0.181090615,0
ghc,400,4,7,0.17554539,0
ghc,400,4,8,0.138477809,0
ghc,400,4,9,0.162297556,0
ghc,400,4,10,0.142733128,0
ghc,400,8,1,0.110445395,0
ghc,400,8,2,0.123955505,0
ghc,400,8,3,0.137923453,0
ghc,400,8,4,0.118066799,0
ghc,400,8,5,9.8666639e-2,0
ghc,400,8,6,0.10082389,0
ghc,400,8,7,0.103196863,0
ghc,400,8,8,0.110673655,0
ghc,400,8,9,0.139947103,0
ghc,400,8,10,0.138740161,0
ghc,450,1,1,1.299587332,0
ghc,450,1,2,1.269564466,0
ghc,450,1,3,1.060590968,0
ghc,450,1,4,1.153614892,0
ghc,450,1,5,1.140269562,0
ghc,450,1,6,1.127172447,0
ghc,450,1,7,1.195196767,0
ghc,450,1,8,1.227303974,0
ghc,450,1,9,1.222303729,0
ghc,450,1,10,1.183814756,0
ghc,450,2,1,0.598199491,0
ghc,450,2,2,0.471013226,0
ghc,450,2,3,0.499850147,0
ghc,450,2,4,0.518878574,0
ghc,450,2,5,0.535846101,0
ghc,450,2,6,0.513214752,0
ghc,450,2,7,0.530595144,0
ghc,450,2,8,0.502312265,0
ghc,450,2,9,0.500536664,0
ghc,450,2,10,0.520972355,0
ghc,450,4,1,0.261554024,0
ghc,450,4,2,0.24064581,0
ghc,450,4,3,0.242698487,0
ghc,450,4,4,0.250705757,0
ghc,450,4,5,0.264631855,0
ghc,450,4,6,0.225090218,0
ghc,450,4,7,0.237966905,0
ghc,450,4,8,0.283331129,0
ghc,450,4,9,0.227545887,0
ghc,450,4,10,0.24813983,0
ghc,450,8,1,0.169084716,0
ghc,450,8,2,0.176179179,0
ghc,450,8,3,0.165051412,0
ghc,450,8,4,0.173043715,0
ghc,450,8,5,0.171148822,0
ghc,450,8,6,0.172138499,0
ghc,450,8,7,0.181331273,0
ghc,450,8,8,0.157671109,0
ghc,450,8,9,0.161214201,0
ghc,450,8,10,0.154656905,0
ghc,500,1,1,2.256105422,0
ghc,500,1,2,2.326862917,0
ghc,500,1,3,2.338747302,0
ghc,500,1,4,2.25027117,0
ghc,500,1,5,2.27765146,0
ghc,500,1,6,2.334199964,0
ghc,500,1,7,2.339664635,0
ghc,500,1,8,2.341319251,0
ghc,500,1,9,2.247850852,0
ghc,500,1,10,2.282700289,0
ghc,500,2,1,0.819721862,0
ghc,500,2,2,0.807076231,0
ghc,500,2,3,0.797050888,0
ghc,500,2,4,0.840927938,0
ghc,500,2,5,0.758343599,0
ghc,500,2,6,0.779745659,0
ghc,500,2,7,0.715288446,0
ghc,500,2,8,0.824253113,0
ghc,500,2,9,0.784967335,0
ghc,500,2,10,0.75910488,0
ghc,500,4,1,0.336553345,0
ghc,500,4,2,0.366179605,0
ghc,500,4,3,0.385098287,0
ghc,500,4,4,0.376176383,0
ghc,500,4,5,0.363916279,0
ghc,500,4,6,0.427995052,0
ghc,500,4,7,0.334801143,0
ghc,500,4,8,0.378316372,0
ghc,500,4,9,0.363798191,0
ghc,500,4,10,0.350344882,0
ghc,500,8,1,0.220639198,0
ghc,500,8,2,0.218326364,0
ghc,500,8,3,0.225492567,0
ghc,500,8,4,0.25305778,0
ghc,500,8,5,0.202867649,0
ghc,500,8,6,0.226790795,0
ghc,500,8,7,0.242331967,0
ghc,500,8,8,0.222015361,0
ghc,500,8,9,0.248443255,0
ghc,500,8,10,0.217888114,0
ghc,550,1,1,2.988231692,0
ghc,550,1,2,3.034123638,0
ghc,550,1,3,2.943508122,0
ghc,550,1,4,3.023548084,0
ghc,550,1,5,3.001711835,0
ghc,550,1,6,3.021151565,0
ghc,550,1,7,3.005983388,0
ghc,550,1,8,2.917439156,0
ghc,550,1,9,2.997430895,0
ghc,550,1,10,2.981777659,0
ghc,550,2,1,0.940338327,0
ghc,550,2,2,1.040687563,0
ghc,550,2,3,1.088703558,0
ghc,550,2,4,1.210741637,0
ghc,550,2,5,1.03594096,0
ghc,550,2,6,1.03183172,0
ghc,550,2,7,1.019992036,0
ghc,550,2,8,1.091240744,0
ghc,550,2,9,1.182915828,0
ghc,550,2,10,0.995196025,0
ghc,550,4,1,0.442467251,0
ghc,550,4,2,0.449875403,0
ghc,550,4,3,0.516652639,0
ghc,550,4,4,0.500135386,0
ghc,550,4,5,0.590630114,0
ghc,550,4,6,0.511294458,0
ghc,550,4,7,0.490617983,0
ghc,550,4,8,0.512977421,0
ghc,550,4,9,0.483126711,0
ghc,550,4,10,0.465531172,0
ghc,550,8,1,0.311069742,0
ghc,550,8,2,0.306687797,0
ghc,550,8,3,0.324911671,0
ghc,550,8,4,0.322317649,0
ghc,550,8,5,0.303361839,0
ghc,550,8,6,0.310360896,0
ghc,550,8,7,0.323478742,0
ghc,550,8,8,0.326390608,0
ghc,550,8,9,0.317613873,0
ghc,550,8,10,0.341982553,0
ghc,600,1,1,3.520454629,0
ghc,600,1,2,3.557525188,0
ghc,600,1,3,3.525101919,0
ghc,600,1,4,3.492788423,0
ghc,600,1,5,3.635562157,0
ghc,600,1,6,3.487156089,0
ghc,600,1,7,3.53068101,0
ghc,600,1,8,3.54513721,0
ghc,600,1,9,3.526846079,0
ghc,600,1,10,3.618604779,0
ghc,600,2,1,1.600749211,0
ghc,600,2,2,1.571413071,0
ghc,600,2,3,1.550498245,0
ghc,600,2,4,1.354401634,0
ghc,600,2,5,1.557376824,0
ghc,600,2,6,1.296847557,0
ghc,600,2,7,1.325825851,0
ghc,600,2,8,1.526729799,0
ghc,600,2,9,1.425266425,0
ghc,600,2,10,1.331213406,0
ghc,600,4,1,0.657900489,0
ghc,600,4,2,0.676335135,0
ghc,600,4,3,0.649199018,0
ghc,600,4,4,0.666433219,0
ghc,600,4,5,0.703794602,0
ghc,600,4,6,0.720463535,0
ghc,600,4,7,0.693542162,0
ghc,600,4,8,0.701552505,0
ghc,600,4,9,0.720537721,0
ghc,600,4,10,0.719841074,0
ghc,600,8,1,0.470846814,0
ghc,600,8,2,0.397091824,0
ghc,600,8,3,0.415738473,0
ghc,600,8,4,0.466649383,0
ghc,600,8,5,0.452666925,0
ghc,600,8,6,0.403585747,0
ghc,600,8,7,0.427050114,0
ghc,600,8,8,0.468468077,0
ghc,600,8,9,0.45917996,0
ghc,600,8,10,0.446838872,0
ghc,650,1,1,4.678862255,0
ghc,650,1,2,4.743799353,0
ghc,650,1,3,4.748094465,0
ghc,650,1,4,4.750502494,0
ghc,650,1,5,4.921017943,0
ghc,650,1,6,4.766248771,0
ghc,650,1,7,4.756183394,0
ghc,650,1,8,4.767957284,0
ghc,650,1,9,4.686835676,0
ghc,650,1,10,4.720164631,0
ghc,650,2,1,1.96054697,0
ghc,650,2,2,1.959434918,0
ghc,650,2,3,1.99515379,0
ghc,650,2,4,1.899275741,0
ghc,650,2,5,1.907319337,0
ghc,650,2,6,1.978757163,0
ghc,650,2,7,1.950980237,0
ghc,650,2,8,1.98700841,0
ghc,650,2,9,1.945318688,0
ghc,650,2,10,1.929207421,0
ghc,650,4,1,0.838898565,0
ghc,650,4,2,0.870559739,0
ghc,650,4,3,0.905528646,0
ghc,650,4,4,0.853845649,0
ghc,650,4,5,0.862032213,0
ghc,650,4,6,0.856717558,0
ghc,650,4,7,0.86173294,0
ghc,650,4,8,0.827191213,0
ghc,650,4,9,0.84783681,0
ghc,650,4,10,0.865531847,0
ghc,650,8,1,0.516617293,0
ghc,650,8,2,0.541953283,0
ghc,650,8,3,0.583786533,0
ghc,650,8,4,0.545425047,0
ghc,650,8,5,0.527745056,0
ghc,650,8,6,0.572825814,0
ghc,650,8,7,0.544231005,0
ghc,650,8,8,0.570102505,0
ghc,650,8,9,0.563756742,0
