variant,N,P,rep,seconds,rc
super,5000,4,4,2.108827,0
super,5000,4,5,2.110767,0
super,5000,4,6,2.124091,0
super,5000,4,7,2.122740,0
super,5000,4,8,2.129125,0
super,5000,4,9,2.103212,0
super,5000,4,10,2.093555,0
super,5000,6,1,2.225163,0
super,5000,6,2,2.200570,0
super,5000,6,3,2.196801,0
super,5000,6,4,2.190759,0
super,5000,6,5,2.207870,0
super,5000,6,6,2.196845,0
super,5000,6,7,2.211676,0
super,5000,6,8,2.191666,0
super,5000,6,9,2.217826,0
super,5000,6,10,2.225868,0
super,5000,8,1,2.227153,0
super,5000,8,2,2.228447,0
super,5000,8,3,2.216666,0
super,5000,8,4,2.234130,0
super,5000,8,5,2.234269,0
super,5000,8,6,2.214445,0
super,5000,8,7,2.203028,0
super,5000,8,8,2.314998,0
super,5000,8,9,2.246782,0
super,5000,8,10,2.223482,0
super,6000,2,1,1.818596,0
super,6000,2,2,1.816420,0
super,6000,2,3,1.816610,0
super,6000,2,4,1.813658,0
super,6000,2,5,1.824616,0
super,6000,2,6,1.829288,0
super,6000,2,7,1.812242,0
super,6000,2,8,1.813714,0
super,6000,2,9,1.811136,0
super,6000,2,10,1.827660,0
super,6000,4,1,2.251225,0
super,6000,4,2,2.254519,0
super,6000,4,3,2.259037,0
super,6000,4,4,2.245095,0
super,6000,4,5,2.258925,0
super,6000,4,6,2.240022,0
super,6000,4,7,2.241583,0
super,6000,4,8,2.232627,0
super,6000,4,9,2.234107,0
super,6000,4,10,2.257348,0
super,6000,6,1,2.320099,0
super,6000,6,2,2.317539,0
super,6000,6,3,2.544118,0
super,6000,6,4,2.325030,0
super,6000,6,5,2.391970,0
super,6000,6,6,2.330126,0
super,6000,6,7,2.360549,0
super,6000,6,8,2.354973,0
super,6000,6,9,2.385071,0
super,6000,6,10,2.344488,0
super,6000,8,1,2.378878,0
super,6000,8,2,2.394360,0
super,6000,8,3,2.372746,0
super,6000,8,4,2.366338,0
super,6000,8,5,2.403883,0
super,6000,8,6,2.415435,0
super,6000,8,7,2.397226,0
super,6000,8,8,2.355080,0
super,6000,8,9,2.348689,0
super,6000,8,10,2.374507,0
super,7000,2,1,1.884897,0
super,7000,2,2,1.898157,0
super,7000,2,3,1.901098,0
super,7000,2,4,1.886977,0
super,7000,2,5,1.903259,0
super,7000,2,6,1.894087,0
super,7000,2,7,1.889288,0
super,7000,2,8,1.895919,0
super,7000,2,9,1.886674,0
super,7000,2,10,1.870646,0
super,7000,4,1,2.395181,0
super,7000,4,2,2.395394,0
super,7000,4,3,2.489507,0
super,7000,4,4,2.409993,0
super,7000,4,5,2.422046,0
super,7000,4,6,2.381413,0
super,7000,4,7,2.385419,0
super,7000,4,8,2.384856,0
super,7000,4,9,2.413161,0
super,7000,4,10,2.390469,0
super,7000,6,1,2.517967,0
super,7000,6,2,2.473576,0
super,7000,6,3,2.494208,0
super,7000,6,4,2.511477,0
super,7000,6,5,2.486768,0
super,7000,6,6,2.501645,0
super,7000,6,7,2.505754,0
super,7000,6,8,2.519494,0
super,7000,6,9,2.512432,0
super,7000,6,10,2.505724,0
super,7000,8,1,2.556420,0
super,7000,8,2,2.542777,0
super,7000,8,3,2.492073,0
super,7000,8,4,2.520357,0
super,7000,8,5,2.499025,0
super,7000,8,6,2.543227,0
super,7000,8,7,2.517105,0
super,7000,8,8,2.564056,0
super,7000,8,9,2.572452,0
super,7000,8,10,2.515389,0
super,8000,2,1,1.979754,0
super,8000,2,2,1.939416,0
super,8000,2,3,1.961571,0
super,8000,2,4,1.992893,0
super,8000,2,5,1.982460,0
super,8000,2,6,1.978576,0
super,8000,2,7,1.974532,0
super,8000,2,8,1.974642,0
super,8000,2,9,1.984050,0
super,8000,2,10,1.976241,0
super,8000,4,1,2.487244,0
super,8000,4,2,2.527393,0
super,8000,4,3,2.515202,0
super,8000,4,4,2.547800,0
super,8000,4,5,2.546000,0
super,8000,4,6,2.547418,0
super,8000,4,7,2.540022,0
super,8000,4,8,2.556519,0
super,8000,4,9,2.532354,0
super,8000,4,10,2.533175,0
super,8000,6,1,2.644053,0
super,8000,6,2,2.643963,0
super,8000,6,3,2.602685,0
super,8000,6,4,2.666357,0
super,8000,6,5,2.620862,0
super,8000,6,6,2.653053,0
super,8000,6,7,2.670425,0
super,8000,6,8,2.661290,0
super,8000,6,9,2.642649,0
super,8000,6,10,2.650190,0
super,8000,8,1,2.649363,0
super,8000,8,2,2.670558,0
super,8000,8,3,2.647688,0
super,8000,8,4,2.663535,0
super,8000,8,5,2.654797,0
super,8000,8,6,2.656603,0
super,8000,8,7,2.668937,0
super,8000,8,8,2.737588,0
super,8000,8,9,2.671948,0
super,8000,8,10,2.645970,0
super,9000,2,1,2.066677,0
super,9000,2,2,2.049013,0
super,9000,2,3,2.049311,0
super,9000,2,4,2.043621,0
super,9000,2,5,2.034357,0
super,9000,2,6,2.061335,0
super,9000,2,7,2.056789,0
super,9000,2,8,2.056319,0
super,9000,2,9,2.053133,0
super,9000,2,10,2.049057,0
super,9000,4,1,2.654068,0
super,9000,4,2,2.652401,0
super,9000,4,3,2.635557,0
super,9000,4,4,2.650721,0
super,9000,4,5,2.677093,0
super,9000,4,6,2.668249,0
super,9000,4,7,2.666236,0
super,9000,4,8,2.645749,0
super,9000,4,9,2.672936,0
super,9000,4,10,2.655835,0
super,9000,6,1,2.776153,0
super,9000,6,2,2.833884,0
super,9000,6,3,2.766262,0
super,9000,6,4,2.766138,0
super,9000,6,5,2.827474,0
super,9000,6,6,2.793068,0
super,9000,6,7,2.837047,0
super,9000,6,8,2.789499,0
super,9000,6,9,2.837004,0
super,9000,6,10,2.803734,0
super,9000,8,1,2.791998,0
super,9000,8,2,2.797466,0
super,9000,8,3,2.826992,0
super,9000,8,4,2.781198,0
super,9000,8,5,2.846068,0
super,9000,8,6,2.810723,0
super,9000,8,7,2.856786,0
super,9000,8,8,2.855333,0
super,9000,8,9,2.830455,0
super,9000,8,10,2.811954,0
super,10000,2,1,2.122598,0
super,10000,2,2,2.123344,0
super,10000,2,3,2.137850,0
super,10000,2,4,2.113419,0
super,10000,2,5,2.111876,0
super,10000,2,6,2.129689,0
super,10000,2,7,2.134931,0
super,10000,2,8,2.101035,0
super,10000,2,9,2.111972,0
super,10000,2,10,2.120959,0
super,10000,4,1,2.796072,0
