variant,N,cutoff,P,rep,seconds,checksum,expected
strategies,3000000,512,3,3,0.270177856,3299331579,3299331579
strategies,3000000,512,3,4,0.270832289,3299331579,3299331579
strategies,3000000,512,3,5,0.275494555,3299331579,3299331579
strategies,3000000,512,3,6,0.26096824,3299331579,3299331579
strategies,3000000,512,3,7,0.304472151,3299331579,3299331579
parpseq,3000000,512,3,1,0.352554497,3299331579,3299331579
parpseq,3000000,512,3,2,0.354103187,3299331579,3299331579
parpseq,3000000,512,3,3,0.363796024,3299331579,3299331579
parpseq,3000000,512,3,4,0.611107166,3299331579,3299331579
parpseq,3000000,512,3,5,0.353330081,3299331579,3299331579
parpseq,3000000,512,3,6,0.610240317,3299331579,3299331579
parpseq,3000000,512,3,7,0.361042028,3299331579,3299331579
sucuri,3000000,512,3,1,0.4236222691833973,3299331579,3299331579
sucuri,3000000,512,3,2,0.447630163282156,3299331579,3299331579
sucuri,3000000,512,3,3,0.42552200704813004,3299331579,3299331579
sucuri,3000000,512,3,4,0.3599095568060875,3299331579,3299331579
sucuri,3000000,512,3,5,0.37341680750250816,3299331579,3299331579
sucuri,3000000,512,3,6,0.357845526188612,3299331579,3299331579
sucuri,3000000,512,3,7,0.36336415261030197,3299331579,3299331579
ribault_c,3000000,512,4,1,0.164779979,3299331579,3299331579
ribault_c,3000000,512,4,2,0.151604493,3299331579,3299331579
ribault_c,3000000,512,4,3,0.159198436,3299331579,3299331579
ribault_c,3000000,512,4,4,0.161952686,3299331579,3299331579
ribault_c,3000000,512,4,5,0.154841711,3299331579,3299331579
ribault_c,3000000,512,4,6,0.123854515,3299331579,3299331579
ribault_c,3000000,512,4,7,0.120676210,3299331579,3299331579
ribault_rust,3000000,512,4,1,0.164694249,3299331579,3299331579
ribault_rust,3000000,512,4,2,0.154785080,3299331579,3299331579
ribault_rust,3000000,512,4,3,0.156500466,3299331579,3299331579
ribault_rust,3000000,512,4,4,0.144760724,3299331579,3299331579
ribault_rust,3000000,512,4,5,0.148594790,3299331579,3299331579
ribault_rust,3000000,512,4,6,0.145919089,3299331579,3299331579
ribault_rust,3000000,512,4,7,0.152273177,3299331579,3299331579
ribault_hs,3000000,512,4,1,0.188182595,3299331579,3299331579
ribault_hs,3000000,512,4,2,0.183753762,3299331579,3299331579
ribault_hs,3000000,512,4,3,0.173170267,3299331579,3299331579
ribault_hs,3000000,512,4,4,0.178408830,3299331579,3299331579
ribault_hs,3000000,512,4,5,0.171447030,3299331579,3299331579
ribault_hs,3000000,512,4,6,0.165111692,3299331579,3299331579
ribault_hs,3000000,512,4,7,0.150595582,3299331579,3299331579
strategies,3000000,512,4,1,0.24196152,3299331579,3299331579
strategies,3000000,512,4,2,0.235899541,3299331579,3299331579
strategies,3000000,512,4,3,0.231409874,3299331579,3299331579
strategies,3000000,512,4,4,0.230801659,3299331579,3299331579
strategies,3000000,512,4,5,0.232332375,3299331579,3299331579
strategies,3000000,512,4,6,0.232512313,3299331579,3299331579
strategies,3000000,512,4,7,0.221235107,3299331579,3299331579
parpseq,3000000,512,4,1,0.360081799,3299331579,3299331579
parpseq,3000000,512,4,2,0.358584927,3299331579,3299331579
parpseq,3000000,512,4,3,0.35881516,3299331579,3299331579
parpseq,3000000,512,4,4,0.354054934,3299331579,3299331579
parpseq,3000000,512,4,5,0.365204466,3299331579,3299331579
parpseq,3000000,512,4,6,0.376743577,3299331579,3299331579
parpseq,3000000,512,4,7,0.38218495,3299331579,3299331579
sucuri,3000000,512,4,1,0.31459543853998184,3299331579,3299331579
sucuri,3000000,512,4,2,0.3045234642922878,3299331579,3299331579
sucuri,3000000,512,4,3,0.3161535859107971,3299331579,3299331579
sucuri,3000000,512,4,4,0.29886293038725853,3299331579,3299331579
sucuri,3000000,512,4,5,0.29046235978603363,3299331579,3299331579
sucuri,3000000,512,4,6,0.47155865654349327,3299331579,3299331579
sucuri,3000000,512,4,7,0.33014653250575066,3299331579,3299331579
ribault_c,3000000,512,7,1,0.133576190,3299331579,3299331579
ribault_c,3000000,512,7,2,0.134064567,3299331579,3299331579
ribault_c,3000000,512,7,3,0.136035964,3299331579,3299331579
ribault_c,3000000,512,7,4,0.126199710,3299331579,3299331579
ribault_c,3000000,512,7,5,0.136452680,3299331579,3299331579
ribault_c,3000000,512,7,6,0.137014112,3299331579,3299331579
ribault_c,3000000,512,7,7,0.134811965,3299331579,3299331579
ribault_rust,3000000,512,7,1,0.121125246,3299331579,3299331579
ribault_rust,3000000,512,7,2,0.124981376,3299331579,3299331579
ribault_rust,3000000,512,7,3,0.126112882,3299331579,3299331579
ribault_rust,3000000,512,7,4,0.121574002,3299331579,3299331579
ribault_rust,3000000,512,7,5,0.111472108,3299331579,3299331579
ribault_rust,3000000,512,7,6,0.117912175,3299331579,3299331579
ribault_rust,3000000,512,7,7,0.117646232,3299331579,3299331579
ribault_hs,3000000,512,7,1,0.166371147,3299331579,3299331579
ribault_hs,3000000,512,7,2,0.140131001,3299331579,3299331579
ribault_hs,3000000,512,7,3,0.135855641,3299331579,3299331579
ribault_hs,3000000,512,7,4,0.143769544,3299331579,3299331579
ribault_hs,3000000,512,7,5,0.146163926,3299331579,3299331579
ribault_hs,3000000,512,7,6,0.139571958,3299331579,3299331579
ribault_hs,3000000,512,7,7,0.141292598,3299331579,3299331579
strategies,3000000,512,7,1,0.235119117,3299331579,3299331579
strategies,3000000,512,7,2,0.243577125,3299331579,3299331579
strategies,3000000,512,7,3,0.242214423,3299331579,3299331579
strategies,3000000,512,7,4,0.235534955,3299331579,3299331579
strategies,3000000,512,7,5,0.232354017,3299331579,3299331579
strategies,3000000,512,7,6,0.253579182,3299331579,3299331579
strategies,3000000,512,7,7,0.234455465,3299331579,3299331579
parpseq,3000000,512,7,1,0.381032101,3299331579,3299331579
parpseq,3000000,512,7,2,0.379400119,3299331579,3299331579
parpseq,3000000,512,7,3,0.367879767,3299331579,3299331579
parpseq,3000000,512,7,4,0.373876155,3299331579,3299331579
parpseq,3000000,512,7,5,0.37847798,3299331579,3299331579
parpseq,3000000,512,7,6,0.613681026,3299331579,3299331579
parpseq,3000000,512,7,7,0.610734143,3299331579,3299331579
sucuri,3000000,512,7,1,0.24855080991983414,3299331579,3299331579
sucuri,3000000,512,7,2,0.2272537387907505,3299331579,3299331579
sucuri,3000000,512,7,3,0.22837799787521362,3299331579,3299331579
sucuri,3000000,512,7,4,0.2539493590593338,3299331579,3299331579
sucuri,3000000,512,7,5,0.24352360144257545,3299331579,3299331579
sucuri,3000000,512,7,6,0.25575069710612297,3299331579,3299331579
sucuri,3000000,512,7,7,0.2600709944963455,3299331579,3299331579
ribault_c,3000000,512,8,1,0.124723879,3299331579,3299331579
ribault_c,3000000,512,8,2,0.116324108,3299331579,3299331579
ribault_c,3000000,512,8,3,0.123496182,3299331579,3299331579
ribault_c,3000000,512,8,4,0.120990897,3299331579,3299331579
ribault_c,3000000,512,8,5,0.101400146,3299331579,3299331579
