variant,N,P,imb,delta,rep,seconds,rc
super,10000,4,10,0,1,0.003733262,0
super,10000,4,10,0,2,0.002513855,0
super,10000,4,10,0,3,0.002167046,0
super,10000,4,15,0,1,0.002731164,0
super,10000,4,15,0,2,0.003553165,0
super,10000,4,15,0,3,0.002145116,0
super,10000,4,20,0,1,0.002830045,0
super,10000,4,20,0,2,0.002037464,0
super,10000,4,20,0,3,0.004286325,0
super,10000,4,25,0,1,0.002751647,0
super,10000,4,25,0,2,0.003120472,0
super,10000,4,25,0,3,0.008998206,0
super,10000,4,30,0,1,0.002656791,0
super,10000,4,30,0,2,0.002576044,0
super,10000,4,30,0,3,0.003651398,0
super,10000,4,35,0,1,0.002354787,0
super,10000,4,35,0,2,0.002387541,0
super,10000,4,35,0,3,0.003074595,0
super,10000,4,40,0,1,0.002538573,0
super,10000,4,40,0,2,0.002093582,0
super,10000,4,40,0,3,0.002996536,0
super,10000,4,45,0,1,0.002476518,0
super,10000,4,45,0,2,0.002753958,0
super,10000,4,45,0,3,0.002374176,0
super,10000,4,50,0,1,0.003324420,0
super,10000,4,50,0,2,0.745591908,0
super,10000,4,50,0,3,0.007108455,0
super,10000,4,55,0,1,0.002616436,0
super,10000,4,55,0,2,0.004052825,0
super,10000,4,55,0,3,0.002284312,0
super,10000,4,60,0,1,0.002467386,0
super,10000,4,60,0,2,0.002269016,0
super,10000,4,60,0,3,0.002345106,0
super,10000,4,65,0,1,0.040487897,0
super,10000,4,65,0,2,0.063119739,0
super,10000,4,65,0,3,0.003367889,0
super,10000,4,70,0,1,0.005633058,0
super,10000,4,70,0,2,0.002592085,0
super,10000,4,70,0,3,0.002375445,0
super,10000,4,75,0,1,0.003650925,0
super,10000,4,75,0,2,0.003608458,0
super,10000,4,75,0,3,0.002889785,0
super,10000,4,80,0,1,0.004009497,0
super,10000,4,80,0,2,0.002021756,0
super,10000,4,80,0,3,0.003004096,0
super,10000,4,85,0,1,0.002603815,0
super,10000,4,85,0,2,0.004534668,0
super,10000,4,85,0,3,0.002822001,0
super,10000,4,90,0,1,0.002574751,0
super,10000,4,90,0,2,0.002223190,0
super,10000,4,90,0,3,0.002521151,0
super,10000,4,95,0,1,0.314976420,0
super,10000,4,95,0,2,0.122088743,0
super,10000,4,95,0,3,0.003192624,0
super,10000,4,100,0,1,0.015190132,0
super,10000,4,100,0,2,0.006343154,0
super,10000,4,100,0,3,0.002079586,0
super,10000,8,0,0,1,0.007331016,0
super,10000,8,0,0,2,0.012627090,0
super,10000,8,0,0,3,0.007469723,0
super,10000,8,5,0,1,0.006129149,98
super,10000,8,5,0,2,0.038762250,0
super,10000,8,5,0,3,0.012192668,0
super,10000,8,10,0,1,0.005919338,98
super,10000,8,10,0,2,0.009634190,98
super,10000,8,10,0,3,0.004373689,98
super,10000,8,15,0,1,0.018501183,0
super,10000,8,15,0,2,0.014179847,98
super,10000,8,15,0,3,0.009071302,0
super,10000,8,20,0,1,0.009198510,0
super,10000,8,20,0,2,0.014908188,0
super,10000,8,20,0,3,0.009398792,0
super,10000,8,25,0,1,0.058032759,0
super,10000,8,25,0,2,0.007563087,98
super,10000,8,25,0,3,0.008626906,0
super,10000,8,30,0,1,0.016260021,98
super,10000,8,30,0,2,0.008327536,0
super,10000,8,30,0,3,0.009327478,0
super,10000,8,35,0,1,0.010727672,0
super,10000,8,35,0,2,0.006071721,0
super,10000,8,35,0,3,0.006790073,0
super,10000,8,40,0,1,0.004717948,0
super,10000,8,40,0,2,0.057201688,0
super,10000,8,40,0,3,0.004737978,0
super,10000,8,45,0,1,0.532228943,0
super,10000,8,45,0,2,0.023850491,0
super,10000,8,45,0,3,0.007435930,98
super,10000,8,50,0,1,0.009429890,0
super,10000,8,50,0,2,0.013171706,98
super,10000,8,50,0,3,0.006602934,98
super,10000,8,55,0,1,0.007333232,0
super,10000,8,55,0,2,0.008075401,0
super,10000,8,55,0,3,0.008957578,98
super,10000,8,60,0,1,0.021850098,0
super,10000,8,60,0,2,0.005742127,0
super,10000,8,60,0,3,0.008513770,0
super,10000,8,65,0,1,0.008570790,0
super,10000,8,65,0,2,0.010501513,0
super,10000,8,65,0,3,0.007061638,98
super,10000,8,70,0,1,0.005446959,98
super,10000,8,70,0,2,0.011882059,0
super,10000,8,70,0,3,0.005360205,98
super,10000,8,75,0,1,0.005872981,98
super,10000,8,75,0,2,0.005896602,98
super,10000,8,75,0,3,0.007842467,0
super,10000,8,80,0,1,0.014414298,0
super,10000,8,80,0,2,0.013236039,0
super,10000,8,80,0,3,0.006267167,0
super,10000,8,85,0,1,0.018709597,0
super,10000,8,85,0,2,0.009125711,98
super,10000,8,85,0,3,0.005266087,0
super,10000,8,90,0,1,0.005098094,98
super,10000,8,90,0,2,0.005899397,0
super,10000,8,90,0,3,0.011010924,98
super,10000,8,95,0,1,0.004837441,98
super,10000,8,95,0,2,0.008131492,0
super,10000,8,95,0,3,0.005968816,0
super,10000,8,100,0,1,0.012255984,0
super,10000,8,100,0,2,0.004392754,98
super,10000,8,100,0,3,0.007370695,0
